Team,GP,G,Freq,FGM,FGA,FG%,eFG%,2FG Freq,2FGM,2FGA,2FG%,3FG Freq,3PM,3PA,3P%
Chicago Bulls,14,14,31.7%,11.7,27.9,41.9,50.4,16.0%,7.0,14.1,49.7,15.7%,4.7,13.9,34.0
Dallas Mavericks,13,13,32.7%,13.2,27.5,47.9,57.1,17.8%,8.1,15.0,53.8,14.8%,5.1,12.5,40.7
Sacramento Kings,14,14,30.5%,11.5,27.4,41.9,50.7,14.0%,6.7,12.6,53.4,16.5%,4.8,14.9,32.2
Toronto Raptors,14,14,29.4%,11.1,26.3,42.1,49.6,16.3%,7.1,14.6,49.0,13.1%,3.9,11.7,33.5
Golden State Warriors,14,14,29.9%,11.0,26.2,42.0,50.3,14.6%,6.6,12.8,52.0,15.3%,4.4,13.4,32.4
Milwaukee Bucks,13,13,27.8%,11.1,26.0,42.6,51.2,13.3%,6.6,12.4,53.4,14.6%,4.5,13.6,32.8
Boston Celtics,13,13,29.9%,11.8,25.9,45.5,54.8,14.8%,7.0,12.8,54.5,15.0%,4.8,13.0,36.7
Detroit Pistons,12,12,30.1%,10.8,25.7,42.2,48.7,17.0%,7.5,14.5,51.7,13.1%,3.3,11.2,29.9
Portland Trail Blazers,13,13,27.7%,9.6,25.3,38.0,47.3,11.7%,4.9,10.7,46.0,16.0%,4.7,14.6,32.1
Indiana Pacers,14,14,31.0%,10.3,25.2,40.8,50.7,13.0%,5.3,10.6,50.0,18.0%,5.0,14.6,34.1
Miami Heat,13,13,28.9%,10.8,25.0,43.1,52.8,14.4%,5.9,12.5,47.5,14.5%,4.8,12.5,38.7
Minnesota Timberwolves,14,14,27.4%,10.5,24.9,42.1,50.3,13.9%,6.4,12.7,50.6,13.4%,4.1,12.2,33.3
Cleveland Cavaliers,12,12,29.9%,11.5,24.9,46.2,53.2,16.1%,8.0,13.4,59.6,13.8%,3.5,11.5,30.4
Los Angeles Lakers,13,13,26.8%,11.4,24.7,46.1,53.7,15.5%,7.6,14.3,53.2,11.3%,3.8,10.4,36.3
San Antonio Spurs,12,12,28.4%,9.9,24.7,40.2,46.6,15.9%,6.8,13.8,48.8,12.5%,3.2,10.8,29.2
Houston Rockets,12,12,30.6%,10.0,24.5,40.8,49.0,16.2%,6.0,13.0,46.2,14.3%,4.0,11.5,34.8
Atlanta Hawks,13,13,27.3%,10.4,24.3,42.7,51.9,13.5%,5.9,12.1,49.0,13.7%,4.5,12.2,36.5
Charlotte Hornets,13,13,28.1%,9.7,24.3,39.9,47.9,13.4%,5.8,11.6,49.7,14.7%,3.9,12.7,30.9
Phoenix Suns,13,13,28.5%,10.2,24.2,41.9,48.9,15.8%,6.8,13.4,50.6,12.8%,3.4,10.8,31.2
Brooklyn Nets,14,14,28.2%,11.1,24.1,46.3,53.0,16.9%,7.9,14.4,55.0,11.3%,3.2,9.6,33.3
Oklahoma City Thunder,13,13,28.8%,9.7,23.9,40.6,48.4,14.4%,6.0,11.9,50.3,14.4%,3.7,11.9,31.0
Philadelphia 76ers,15,15,25.7%,9.5,23.5,40.6,48.3,13.3%,5.9,12.1,48.9,12.4%,3.6,11.3,31.8
LA Clippers,13,13,25.7%,9.2,23.5,39.0,46.2,14.8%,5.8,13.5,42.9,11.0%,3.4,10.0,33.8
Memphis Grizzlies,12,12,29.9%,10.6,23.3,45.4,54.5,14.7%,6.3,11.4,55.5,15.3%,4.3,11.9,35.7
Utah Jazz,13,13,27.3%,9.8,22.8,42.9,51.2,15.2%,6.0,12.7,47.3,12.1%,3.8,10.1,37.4
Washington Wizards,13,13,25.6%,10.4,22.6,45.9,55.3,11.9%,6.2,10.5,58.4,13.7%,4.2,12.1,35.0
New Orleans Pelicans,13,13,24.6%,9.4,22.1,42.5,50.2,13.1%,6.0,11.8,51.0,11.5%,3.4,10.3,32.8
New York Knicks,14,14,26.3%,9.5,21.9,43.3,51.5,13.7%,5.9,11.4,51.9,12.6%,3.6,10.5,34.0
Orlando Magic,14,14,25.7%,10.2,21.9,46.7,57.0,12.6%,5.7,10.7,53.3,13.1%,4.5,11.1,40.4
Denver Nuggets,13,13,26.8%,8.8,21.9,40.1,48.6,12.3%,5.1,10.1,50.4,14.4%,3.7,11.8,31.4
