Team,FGM,FGA,FG%,FGM.1,FGA.1,FG%.1,FGM.2,FGA.2,FG%.2,FGM.3,FGA.3,FG%.3,FGM.4,FGA.4,FG%.4,FGM.5,FGA.5,FG%.5
Atlanta Hawks,17.5,29.1,60.3,5.5,13.4,40.8,6.2,13.8,44.7,2.1,5.1,40.9,1.0,2.6,38.2,10.3,26.8,38.4
Boston Celtics,17.4,28.9,60.1,5.1,13.2,38.4,5.7,13.3,42.8,0.9,2.7,34.3,1.3,4.2,31.5,8.0,25.8,31.0
Brooklyn Nets,17.1,28.9,59.2,5.3,13.8,38.3,9.1,19.7,46.0,1.2,2.4,50.0,0.4,1.9,22.2,7.1,20.4,35.1
Charlotte Hornets,19.4,31.8,61.1,5.0,12.9,38.9,4.9,11.2,43.3,1.6,3.6,44.0,1.6,3.3,47.8,7.9,25.8,30.5
Chicago Bulls,17.8,30.4,58.6,4.6,12.0,38.1,6.6,15.1,44.1,1.2,3.2,37.8,1.4,3.6,39.2,9.4,27.0,34.7
Cleveland Cavaliers,20.9,30.8,67.8,4.4,11.3,38.8,5.6,14.0,40.1,1.5,4.3,35.7,1.2,2.7,45.7,8.4,23.0,36.5
Dallas Mavericks,17.5,27.8,63.2,4.3,12.3,35.0,7.9,17.5,45.2,1.8,4.5,39.0,1.4,3.8,36.0,8.3,20.2,41.1
Denver Nuggets,19.6,30.9,63.7,4.3,11.9,35.9,4.0,10.2,39.2,1.4,4.2,33.9,1.6,4.5,36.5,7.3,21.1,34.6
Detroit Pistons,16.9,23.2,73.0,7.7,18.2,42.2,6.0,15.8,37.9,1.2,2.4,48.3,0.9,2.9,31.4,7.7,24.4,31.4
Golden State Warriors,18.9,27.6,68.4,5.6,14.6,38.7,4.9,12.8,38.5,1.1,3.6,32.0,1.1,3.5,32.7,8.8,27.8,31.6
Houston Rockets,18.9,28.2,67.0,5.8,15.0,38.5,4.5,11.7,38.8,1.2,3.4,34.1,1.5,3.2,45.2,6.8,20.1,34.1
Indiana Pacers,16.1,25.2,63.7,3.6,12.1,30.2,4.5,12.3,36.6,0.9,2.3,40.6,1.8,3.8,47.2,9.9,27.2,36.2
LA Clippers,20.1,34.1,58.9,4.3,14.1,30.6,6.7,17.1,39.2,1.2,2.5,46.9,0.8,2.3,36.7,7.6,23.4,32.6
Los Angeles Lakers,21.6,35.2,61.4,5.6,15.5,36.3,5.1,12.2,41.8,1.1,2.8,37.8,0.9,3.5,26.1,9.1,24.8,36.6
Memphis Grizzlies,16.1,26.3,61.3,5.3,12.2,43.2,4.6,11.0,41.7,1.7,4.4,37.7,1.5,4.0,37.5,7.4,21.6,34.4
Miami Heat,17.3,29.2,59.4,4.8,12.1,40.1,6.8,17.8,38.1,1.7,3.6,46.8,1.5,3.8,40.8,8.0,22.5,35.5
Milwaukee Bucks,13.1,23.2,56.3,6.8,16.3,41.5,7.9,18.5,42.7,1.8,3.8,46.0,0.8,2.4,35.5,10.4,30.7,33.8
Minnesota Timberwolves,19.9,31.6,62.9,5.4,13.4,40.4,5.7,14.6,39.0,1.6,3.8,43.4,1.6,3.7,44.2,9.4,26.2,36.0
New Orleans Pelicans,19.9,32.2,61.8,5.6,12.5,44.8,5.2,14.4,35.8,1.4,4.3,32.1,2.0,3.9,51.0,8.5,24.6,34.4
New York Knicks,19.3,30.1,64.1,5.9,12.4,47.1,3.9,11.5,34.2,1.6,4.8,34.3,0.9,3.8,24.5,8.9,23.6,37.6
Oklahoma City Thunder,18.2,30.0,60.5,6.5,13.1,50.0,4.4,12.7,34.5,1.1,3.3,32.6,1.2,3.5,34.8,7.2,22.0,32.9
Orlando Magic,17.9,28.5,62.9,4.6,13.4,34.2,6.6,14.4,45.5,0.9,2.6,33.3,1.4,3.4,42.6,8.9,24.6,35.9
Philadelphia 76ers,18.0,30.2,59.6,6.5,17.8,36.3,6.1,15.2,40.4,0.6,3.0,20.0,1.5,3.1,46.8,8.7,25.7,34.0
Phoenix Suns,22.7,33.5,67.7,4.8,12.7,38.2,5.1,12.1,42.0,1.4,2.8,50.0,0.8,2.4,35.5,7.6,23.3,32.7
Portland Trail Blazers,18.9,31.5,60.1,4.8,13.9,34.3,5.5,16.5,33.5,1.3,3.4,38.6,1.1,3.6,29.8,8.3,24.5,33.9
Sacramento Kings,20.5,31.9,64.3,5.6,13.4,42.0,4.3,11.0,39.0,1.4,3.9,36.4,1.1,4.8,22.4,9.3,27.1,34.3
San Antonio Spurs,17.9,29.5,60.7,6.3,13.4,47.2,6.3,16.3,38.3,1.5,2.7,56.3,0.8,2.5,30.0,8.5,24.8,34.2
Toronto Raptors,18.4,31.4,58.8,5.3,15.1,35.1,6.4,15.4,41.2,1.4,3.4,39.6,1.5,3.9,38.2,7.8,22.6,34.4
Utah Jazz,16.6,26.2,63.3,7.1,16.2,43.6,6.3,14.4,43.9,1.0,3.2,31.0,1.2,3.1,37.5,7.9,22.1,35.9
Washington Wizards,18.3,28.6,64.0,5.4,14.9,36.1,6.8,15.2,44.4,1.4,3.1,45.0,1.1,2.3,46.7,10.3,26.6,38.7
