Team,GP,G,Freq,FGM,FGA,FG%,eFG%,2FG Freq,2FGM,2FGA,2FG%,3FG Freq,3PM,3PA,3P%
Milwaukee Bucks,13,13,25.7%,9.2,24.0,38.5,53.2,5.5%,2.1,5.2,41.8,20.2%,7.1,18.9,37.6
Atlanta Hawks,13,13,26.2%,10.8,23.4,46.4,63.5,5.6%,2.9,5.0,56.9,20.6%,8.0,18.4,43.5
Philadelphia 76ers,15,15,25.3%,9.7,23.1,41.9,55.6,6.1%,3.3,5.6,59.5,19.2%,6.3,17.5,36.3
New Orleans Pelicans,13,13,25.4%,9.6,22.8,42.2,58.3,4.4%,2.3,3.9,58.8,21.0%,7.3,18.9,38.8
Los Angeles Lakers,13,13,24.3%,9.6,22.4,43.0,56.5,6.3%,3.5,5.8,61.3,18.0%,6.1,16.6,36.6
Golden State Warriors,14,14,25.5%,8.9,22.4,39.9,53.7,4.8%,2.8,4.2,66.1,20.7%,6.1,18.1,33.9
Minnesota Timberwolves,14,14,24.4%,10.2,22.2,46.0,63.3,5.1%,2.5,4.6,53.8,19.3%,7.7,17.6,43.9
Sacramento Kings,14,14,23.8%,7.9,21.4,36.7,51.5,3.3%,1.5,2.9,51.2,20.6%,6.4,18.5,34.4
New York Knicks,14,14,25.6%,8.5,21.4,39.8,55.4,4.0%,1.9,3.4,55.3,21.6%,6.6,18.0,36.9
San Antonio Spurs,12,12,24.5%,9.0,21.3,42.2,57.0,6.0%,2.7,5.3,50.8,18.5%,6.3,16.1,39.4
Chicago Bulls,14,14,23.7%,8.6,20.9,41.0,55.1,5.3%,2.6,4.7,56.1,18.4%,5.9,16.2,36.6
Phoenix Suns,13,13,24.5%,10.1,20.8,48.5,62.8,6.2%,4.2,5.2,79.4,18.3%,5.9,15.5,38.1
Boston Celtics,13,13,23.7%,6.9,20.5,33.7,45.3,4.5%,2.1,3.9,54.9,19.2%,4.8,16.6,28.7
Washington Wizards,13,13,22.9%,10.2,20.2,50.6,68.1,5.1%,3.1,4.5,69.5,17.7%,7.1,15.7,45.1
Charlotte Hornets,13,13,22.8%,7.6,19.8,38.5,53.1,3.3%,1.9,2.9,64.9,19.6%,5.8,16.9,34.1
Utah Jazz,13,13,23.2%,8.2,19.4,42.5,55.4,6.0%,3.2,5.0,64.6,17.2%,5.0,14.4,34.8
Dallas Mavericks,13,13,22.0%,8.2,18.5,44.0,57.5,5.9%,3.1,5.0,63.1,16.1%,5.0,13.5,36.9
LA Clippers,13,13,20.2%,7.4,18.4,40.2,52.7,5.3%,2.8,4.8,57.1,14.8%,4.6,13.5,34.1
Miami Heat,13,13,20.9%,7.8,18.1,43.4,58.3,4.9%,2.5,4.2,58.2,16.0%,5.4,13.8,38.9
Cleveland Cavaliers,12,12,21.5%,8.8,17.9,49.3,69.5,3.0%,1.6,2.5,63.3,18.5%,7.3,15.4,47.0
Memphis Grizzlies,12,12,22.7%,7.1,17.7,40.1,55.2,3.7%,1.8,2.9,60.0,18.9%,5.3,14.8,36.2
Brooklyn Nets,14,14,20.7%,7.4,17.6,42.1,54.9,7.4%,2.9,6.3,46.6,13.3%,4.5,11.4,39.6
Denver Nuggets,13,13,21.6%,8.0,17.6,45.4,61.4,4.5%,2.4,3.7,64.6,17.1%,5.6,13.9,40.3
Detroit Pistons,12,12,20.6%,6.7,17.6,37.9,50.7,4.7%,2.2,4.0,54.2,15.9%,4.5,13.6,33.1
Orlando Magic,14,14,20.6%,7.1,17.5,40.4,54.5,4.0%,2.1,3.4,62.5,16.5%,4.9,14.1,35.0
Portland Trail Blazers,13,13,19.1%,6.8,17.5,39.2,53.5,4.1%,1.9,3.8,49.0,15.0%,5.0,13.7,36.5
Toronto Raptors,14,14,19.5%,7.9,17.4,45.1,60.9,3.5%,2.4,3.1,75.0,16.0%,5.5,14.3,38.5
Oklahoma City Thunder,13,13,20.9%,6.4,17.3,36.9,50.4,4.4%,1.7,3.6,46.8,16.5%,4.7,13.7,34.3
Indiana Pacers,14,14,20.9%,7.7,17.0,45.4,62.4,4.0%,1.9,3.2,60.0,17.0%,5.8,13.8,42.0
Houston Rockets,12,12,20.8%,6.8,16.7,40.5,54.8,4.4%,2.0,3.5,57.1,16.4%,4.8,13.2,36.1
