Team,GP,G,Freq,FGM,FGA,FG%,eFG%,2FG Freq,2FGM,2FGA,2FG%,3FG Freq,3PM,3PA,3P%
Boston Celtics,13,13,32.4%,10.9,28.8,38.0,46.5,16.3%,6.0,14.5,41.5,16.1%,4.9,14.3,34.4
Orlando Magic,14,14,31.7%,11.1,28.1,39.3,46.1,16.6%,7.3,14.7,49.5,15.1%,3.8,13.4,28.2
San Antonio Spurs,12,12,31.7%,12.1,27.8,43.4,49.4,20.1%,8.8,17.7,49.5,11.6%,3.3,10.2,32.8
Golden State Warriors,14,14,31.3%,13.2,26.9,49.2,57.6,18.0%,8.7,15.4,56.5,13.3%,4.5,11.4,39.4
Los Angeles Lakers,13,13,28.8%,11.5,26.5,43.3,51.2,15.1%,7.3,13.8,52.8,13.7%,4.2,12.6,32.9
Minnesota Timberwolves,14,14,29.4%,12.1,26.4,45.9,54.3,16.5%,7.7,14.8,52.2,13.0%,4.4,11.6,38.0
Oklahoma City Thunder,13,13,29.3%,11.5,26.1,43.8,50.6,17.4%,7.9,15.5,51.0,11.9%,3.5,10.6,33.3
Atlanta Hawks,13,13,30.2%,11.0,26.0,42.3,50.4,14.0%,6.8,12.1,56.1,16.1%,4.2,13.9,30.4
New York Knicks,14,14,28.9%,10.4,25.9,40.1,48.8,13.7%,5.9,12.2,48.0,15.3%,4.5,13.6,33.0
Sacramento Kings,14,14,28.8%,11.1,25.8,43.2,51.2,15.7%,7.0,14.1,49.7,13.1%,4.1,11.7,35.4
Houston Rockets,12,12,29.7%,9.7,25.4,38.0,49.0,9.7%,4.1,8.3,49.0,20.0%,5.6,17.1,32.7
Cleveland Cavaliers,12,12,29.1%,10.0,25.1,39.9,45.8,16.9%,7.0,14.6,48.0,12.2%,3.0,10.5,28.6
Washington Wizards,13,13,29.4%,10.3,24.9,41.5,50.0,14.8%,6.1,12.5,48.5,14.6%,4.2,12.3,34.4
Charlotte Hornets,13,13,27.4%,11.1,24.7,44.9,53.3,13.5%,6.9,12.2,57.0,13.9%,4.2,12.5,33.1
Detroit Pistons,12,12,26.7%,9.8,24.4,40.3,48.6,12.2%,5.8,11.2,51.5,14.5%,4.1,13.3,30.8
New Orleans Pelicans,13,13,27.5%,10.4,24.4,42.6,50.8,14.2%,6.4,12.6,50.6,13.3%,4.0,11.8,34.0
Denver Nuggets,13,13,27.7%,10.5,24.1,43.8,50.3,15.8%,7.4,13.7,53.9,11.9%,3.1,10.4,30.4
Chicago Bulls,14,14,28.5%,9.6,23.8,40.5,47.4,16.4%,6.4,13.7,46.4,12.1%,3.3,10.1,32.6
Miami Heat,13,13,27.2%,10.6,23.6,45.0,56.0,12.0%,5.4,10.4,51.9,15.2%,5.2,13.2,39.5
Dallas Mavericks,13,13,28.1%,8.4,23.6,35.5,42.3,13.5%,5.2,11.4,45.3,14.5%,3.2,12.2,26.4
Portland Trail Blazers,13,13,26.5%,10.6,23.5,45.2,53.4,14.5%,6.8,12.8,52.7,12.0%,3.9,10.6,36.2
Phoenix Suns,13,13,28.5%,10.3,23.1,44.5,54.0,13.2%,5.9,10.7,55.4,15.4%,4.4,12.5,35.2
Brooklyn Nets,14,14,26.6%,9.6,23.1,41.5,51.2,11.7%,5.1,10.1,50.0,14.9%,4.5,12.9,34.8
Utah Jazz,13,13,28.2%,10.3,23.0,44.8,53.2,14.0%,6.5,11.4,56.8,14.2%,3.9,11.6,33.1
Philadelphia 76ers,15,15,26.8%,9.5,22.7,41.8,49.0,14.3%,6.2,12.1,51.4,12.5%,3.3,10.6,30.8
Toronto Raptors,14,14,25.8%,10.9,22.4,48.4,56.5,13.0%,7.2,11.4,63.5,12.7%,3.6,11.1,32.9
Milwaukee Bucks,13,13,24.9%,10.4,22.3,46.6,59.3,9.4%,4.7,8.5,55.5,15.4%,5.7,13.8,41.1
LA Clippers,13,13,26.6%,9.2,22.3,41.4,50.7,13.0%,5.1,10.9,46.5,13.6%,4.2,11.4,36.5
Indiana Pacers,14,14,26.6%,10.1,21.9,45.9,53.7,15.5%,6.6,12.8,52.0,11.1%,3.4,9.1,37.5
Memphis Grizzlies,12,12,24.8%,8.0,19.8,40.3,49.4,13.3%,4.4,10.7,41.4,11.5%,3.6,9.2,39.1
