Team,FGM,FGA,FG%,FGM.1,FGA.1,FG%.1,FGM.2,FGA.2,FG%.2,FGM.3,FGA.3,FG%.3,FGM.4,FGA.4,FG%.4,FGM.5,FGA.5,FG%.5
Atlanta Hawks,20.4,33.9,60.1,3.9,10.5,37.2,3.5,8.5,41.4,2.1,5.2,40.3,1.6,4.8,33.9,8.2,25.2,32.3
Boston Celtics,13.9,23.1,60.3,4.5,10.7,41.7,6.5,18.7,35.0,1.7,3.5,47.8,1.1,4.2,25.9,10.6,29.7,35.8
Brooklyn Nets,18.1,30.6,59.2,6.7,15.2,44.1,2.6,8.2,31.3,1.7,3.4,51.1,1.6,3.9,40.7,9.4,27.6,34.1
Charlotte Hornets,17.4,29.0,60.1,6.2,14.8,42.0,6.2,14.0,44.4,0.9,3.1,30.2,1.6,3.6,46.0,9.8,27.3,35.9
Chicago Bulls,18.1,29.4,61.7,4.9,12.3,39.5,5.7,16.2,35.2,1.8,4.6,39.1,1.6,3.0,52.4,7.1,21.4,33.3
Cleveland Cavaliers,17.8,30.6,58.0,4.6,12.8,36.1,8.5,20.9,40.4,1.4,3.3,41.9,1.0,1.8,56.5,6.2,18.3,33.6
Dallas Mavericks,18.3,28.4,64.5,5.0,14.1,35.5,4.3,10.1,42.7,1.1,3.5,30.4,1.2,3.1,40.0,9.7,27.0,35.9
Denver Nuggets,19.4,32.0,60.5,6.9,16.1,42.7,5.1,11.5,44.1,0.9,3.1,29.5,1.2,3.1,39.5,7.2,22.0,32.8
Detroit Pistons,17.8,29.8,59.7,6.1,18.0,33.8,5.0,11.3,44.4,1.1,4.4,24.5,1.3,3.7,36.4,8.6,26.8,32.1
Golden State Warriors,16.5,24.1,68.5,5.1,11.5,44.1,11.4,22.6,50.2,1.7,3.1,55.8,1.1,2.5,42.9,9.7,24.3,40.0
Houston Rockets,17.3,28.5,60.6,3.2,10.2,31.1,2.5,5.5,45.1,1.5,4.2,35.2,2.2,5.0,43.1,10.1,32.5,31.0
Indiana Pacers,18.1,28.0,64.5,6.1,13.7,44.3,7.8,18.4,42.4,1.4,3.6,40.0,0.8,2.3,34.4,6.8,18.6,36.5
LA Clippers,19.0,32.2,59.1,7.8,16.4,47.4,4.9,13.9,35.4,1.4,2.5,54.5,1.2,2.2,53.6,7.2,20.3,35.6
Los Angeles Lakers,25.8,41.0,62.9,3.5,9.4,36.9,5.2,12.9,40.5,0.6,2.9,21.1,1.8,4.0,44.2,8.3,23.4,35.5
Memphis Grizzlies,16.2,26.3,61.4,6.3,16.7,38.0,4.3,11.8,35.9,0.9,3.0,30.6,0.5,2.3,21.4,8.2,21.6,37.8
Miami Heat,17.5,28.2,62.3,5.5,17.5,31.1,4.0,10.5,38.2,1.8,4.0,46.2,1.2,3.4,36.4,9.3,25.6,36.3
Milwaukee Bucks,23.5,34.1,68.8,3.9,11.2,34.9,2.1,6.8,30.7,1.8,4.4,42.1,1.8,4.4,42.1,11.5,31.5,36.6
Minnesota Timberwolves,16.5,27.8,59.4,6.9,16.9,41.1,5.9,17.5,33.9,1.6,3.9,42.6,1.4,4.0,33.9,7.6,21.3,35.9
New Orleans Pelicans,22.4,33.8,66.1,7.7,18.1,42.6,4.2,11.9,35.5,1.0,2.3,43.3,1.1,2.8,38.9,7.8,22.2,34.9
New York Knicks,17.5,30.2,57.9,5.1,14.0,36.2,7.5,18.0,41.7,0.7,2.1,33.3,0.5,2.6,19.4,8.1,24.2,33.3
Oklahoma City Thunder,21.5,33.8,63.4,3.7,11.9,31.0,6.2,15.2,40.9,0.8,2.3,33.3,1.2,4.4,28.1,7.2,23.5,30.4
Orlando Magic,16.0,24.5,65.3,5.1,14.5,35.0,8.1,20.1,40.4,1.6,3.8,43.4,0.4,2.2,19.4,8.9,25.6,34.6
Philadelphia 76ers,16.5,25.5,64.9,5.4,14.0,38.6,6.3,14.8,42.3,1.0,2.1,48.4,0.8,2.5,32.4,9.4,28.7,32.8
Phoenix Suns,17.2,27.8,61.8,4.7,11.3,41.5,5.1,13.1,38.8,1.2,3.2,39.0,1.2,4.5,25.4,7.6,22.8,33.3
Portland Trail Blazers,18.8,32.5,58.1,3.9,9.8,39.8,7.5,16.2,46.7,1.3,2.3,56.7,0.9,2.5,37.5,9.5,27.2,34.7
Sacramento Kings,19.4,29.3,66.1,7.7,18.5,41.7,6.6,16.9,39.2,1.1,3.3,34.8,0.9,2.2,38.7,8.4,21.2,39.4
San Antonio Spurs,13.4,22.8,59.0,6.3,14.8,42.1,11.2,27.8,40.2,1.0,2.3,42.9,1.3,3.0,41.7,7.3,19.0,38.2
Toronto Raptors,19.9,29.7,66.8,6.4,14.6,43.6,5.7,11.4,50.0,1.7,5.1,33.8,1.9,4.2,44.1,8.4,25.2,33.1
Utah Jazz,21.1,31.9,66.0,3.4,11.2,30.3,3.1,8.1,38.1,1.7,5.2,32.8,1.2,4.3,28.6,8.3,22.6,36.7
Washington Wizards,18.2,28.8,63.4,4.8,12.2,39.2,5.8,13.6,42.4,1.1,3.7,29.2,1.9,4.6,41.7,7.6,23.9,31.8
