Team,GP,G,Freq,FGM,FGA,FG%,eFG%,2FG Freq,2FGM,2FGA,2FG%,3FG Freq,3PM,3PA,3P%
Milwaukee Bucks,13,13,27.6%,10.2,24.8,41.3,57.1,4.0%,2.4,3.6,66.0,23.6%,7.8,21.1,37.1
Boston Celtics,13,13,27.8%,10.3,24.7,41.7,55.9,6.1%,3.3,5.4,61.4,21.8%,7.0,19.3,36.3
Toronto Raptors,14,14,26.9%,10.2,23.4,43.6,59.1,4.8%,2.9,4.1,70.7,22.1%,7.3,19.3,37.8
Detroit Pistons,12,12,25.4%,8.0,23.3,34.4,47.3,4.2%,2.0,3.8,52.2,21.2%,6.0,19.4,30.9
Portland Trail Blazers,13,13,25.0%,9.6,22.1,43.4,58.3,6.7%,3.0,5.9,50.6,18.3%,6.6,16.2,40.8
Dallas Mavericks,13,13,26.1%,10.2,22.0,46.5,64.5,3.8%,2.3,3.2,71.4,22.3%,7.9,18.8,42.2
Atlanta Hawks,13,13,25.4%,8.9,21.9,40.7,57.0,2.8%,1.8,2.4,74.2,22.7%,7.2,19.5,36.6
Utah Jazz,13,13,26.3%,8.5,21.5,39.8,55.9,3.4%,1.6,2.8,58.3,22.9%,6.9,18.7,37.0
Philadelphia 76ers,15,15,24.9%,8.5,21.1,40.5,54.7,5.2%,2.5,4.4,57.6,19.7%,6.0,16.7,36.0
Orlando Magic,14,14,23.4%,8.7,20.8,41.9,55.8,6.6%,2.9,5.9,50.0,16.8%,5.8,14.9,38.8
Los Angeles Lakers,13,13,22.4%,9.6,20.6,46.6,61.0,5.9%,3.7,5.5,67.6,16.5%,5.9,15.2,39.1
Washington Wizards,13,13,24.4%,7.8,20.6,37.7,51.5,4.5%,2.1,3.8,55.1,19.9%,5.7,16.9,33.8
Oklahoma City Thunder,13,13,22.9%,7.1,20.4,34.7,46.2,4.0%,2.4,3.5,67.4,18.9%,4.7,16.9,27.9
Denver Nuggets,13,13,23.3%,8.3,20.2,41.1,54.9,4.7%,2.7,4.1,66.0,18.6%,5.6,16.1,34.8
Memphis Grizzlies,12,12,25.1%,8.7,20.1,43.2,57.9,6.1%,2.8,4.9,55.9,19.0%,5.9,15.2,39.0
Brooklyn Nets,14,14,22.5%,9.0,19.6,46.0,64.1,2.8%,1.9,2.4,79.4,19.7%,7.1,17.1,41.3
Chicago Bulls,14,14,23.4%,7.9,19.5,40.7,55.3,5.1%,2.2,4.3,51.7,18.2%,5.7,15.2,37.6
Indiana Pacers,14,14,23.4%,8.0,19.3,41.5,54.1,7.6%,3.1,6.3,50.0,15.8%,4.9,13.0,37.4
Minnesota Timberwolves,14,14,21.5%,7.8,19.3,40.4,54.1,5.2%,2.5,4.6,53.8,16.3%,5.3,14.6,36.1
Houston Rockets,12,12,22.2%,7.1,19.0,37.3,52.4,1.9%,1.3,1.7,80.0,20.3%,5.8,17.3,33.2
Sacramento Kings,14,14,21.0%,8.9,18.8,47.5,62.2,6.2%,3.4,5.5,62.3,14.9%,5.5,13.3,41.4
Charlotte Hornets,13,13,20.5%,8.5,18.5,45.6,63.9,3.3%,1.7,3.0,56.4,17.2%,6.8,15.5,43.6
Miami Heat,13,13,21.0%,7.2,18.2,39.2,55.1,3.5%,1.4,3.0,46.2,17.5%,5.8,15.2,37.9
Golden State Warriors,14,14,20.2%,9.2,17.4,53.1,69.8,5.7%,3.4,4.9,69.6,14.5%,5.8,12.4,46.6
Phoenix Suns,13,13,21.2%,6.4,17.2,37.1,50.0,4.5%,1.9,3.7,52.1,16.7%,4.5,13.5,33.0
New York Knicks,14,14,18.6%,6.6,16.6,39.5,51.7,5.3%,2.5,4.7,53.0,13.3%,4.1,11.9,34.1
New Orleans Pelicans,13,13,18.6%,6.7,16.5,40.7,54.4,4.3%,2.1,3.8,57.1,14.3%,4.5,12.7,35.8
San Antonio Spurs,12,12,18.7%,7.8,16.4,47.7,62.7,6.6%,2.9,5.8,50.7,12.2%,4.9,10.7,46.1
LA Clippers,13,13,17.8%,6.5,14.9,43.8,59.8,4.4%,1.8,3.7,47.9,13.4%,4.8,11.2,42.5
Cleveland Cavaliers,12,12,17.1%,6.8,14.8,46.3,59.0,6.4%,3.1,5.5,56.1,10.7%,3.8,9.3,40.5
